sourceFile,description,amount,type,category,subcategory,bankCategory
messy-variants.csv,STARBUCKS #1024,25,debit,Dining,Coffee Shop,
messy-variants.csv,STARBUCKS SAN LUIS OBISPO CA,25,debit,Dining,Coffee Shop,
messy-variants.csv,POS DEBIT SQ *STARBUCKS,25,debit,Dining,Coffee Shop,
messy-variants.csv,SQ *STARBUCKS #1024,25,debit,Dining,Coffee Shop,
messy-variants.csv,BLUE BOTTLE COFFEE #5578,25,debit,Dining,Coffee Shop,
messy-variants.csv,BLUE BOTTLE COFFEE AUSTIN TX,25,debit,Dining,Coffee Shop,
messy-variants.csv,RECURRING PAYMENT TST* BLUE BOTTLE COFFEE,25,debit,Dining,Coffee Shop,
messy-variants.csv,TST* BLUE BOTTLE COFFEE #5578,25,debit,Dining,Coffee Shop,
messy-variants.csv,DUNKIN #219,25,debit,Dining,Coffee Shop,
messy-variants.csv,DUNKIN BROOKLYN NY,25,debit,Dining,Coffee Shop,
messy-variants.csv,CHECKCARD PAYPAL *DUNKIN,25,debit,Dining,Coffee Shop,
messy-variants.csv,PAYPAL *DUNKIN #219,25,debit,Dining,Coffee Shop,
messy-variants.csv,MCDONALDS #8842,25,debit,Dining,Fast Food,
messy-variants.csv,MCDONALDS PORTLAND OR,25,debit,Dining,Fast Food,
messy-variants.csv,DEBIT CARD PURCHASE SP *MCDONALDS,25,debit,Dining,Fast Food,
messy-variants.csv,SP *MCDONALDS #8842,25,debit,Dining,Fast Food,
messy-variants.csv,CHIPOTLE #33,25,debit,Dining,Fast Food,
messy-variants.csv,CHIPOTLE DENVER CO,25,debit,Dining,Fast Food,
messy-variants.csv,POS DEBIT SQ *CHIPOTLE,25,debit,Dining,Fast Food,
messy-variants.csv,SQ *CHIPOTLE #33,25,debit,Dining,Fast Food,
messy-variants.csv,CHICK-FIL-A #7701,25,debit,Dining,Fast Food,
messy-variants.csv,CHICK-FIL-A MIAMI FL,25,debit,Dining,Fast Food,
messy-variants.csv,RECURRING PAYMENT TST* CHICK-FIL-A,25,debit,Dining,Fast Food,
messy-variants.csv,TST* CHICK-FIL-A #7701,25,debit,Dining,Fast Food,
messy-variants.csv,FIVE GUYS #456,25,debit,Dining,Fast Food,
messy-variants.csv,FIVE GUYS SEATTLE WA,25,debit,Dining,Fast Food,
messy-variants.csv,CHECKCARD PAYPAL *FIVE GUYS,25,debit,Dining,Fast Food,
messy-variants.csv,PAYPAL *FIVE GUYS #456,25,debit,Dining,Fast Food,
messy-variants.csv,OLIVE GARDEN #9012,25,debit,Dining,Restaurant,
messy-variants.csv,OLIVE GARDEN CHICAGO IL,25,debit,Dining,Restaurant,
messy-variants.csv,DEBIT CARD PURCHASE SP *OLIVE GARDEN,25,debit,Dining,Restaurant,
messy-variants.csv,SP *OLIVE GARDEN #9012,25,debit,Dining,Restaurant,
